ticker_symbol,period_ending,accounts_payable,accounts_receivable,add'l_income/expense_items,after_tax_roe,capital_expenditures,capital_surplus,cash_ratio,cash_and_cash_equivalents,changes_in_inventories,common_stocks,cost_of_revenue,current_ratio,deferred_asset_charges,deferred_liability_charges,depreciation,earnings_before_interest_and_tax,earnings_before_tax,effect_of_exchange_rate,equity_earnings/loss_unconsolidated_subsidiary,fixed_assets,goodwill,gross_margin,gross_profit,income_tax,intangible_assets,interest_expense,inventory,investments,liabilities,long-term_debt,long-term_investments,minority_interest,misc._stocks,net_borrowings,net_cash_flow,net_cash_flow-operating,net_cash_flows-financing,net_cash_flows-investing,net_income,net_income_adjustments,net_income_applicable_to_common_shareholders,net_income-cont._operations,net_receivables,non-recurring_items,operating_income,operating_margin,other_assets,other_current_assets,other_current_liabilities,other_equity,other_financing_activities,other_investing_activities,other_liabilities,other_operating_activities,other_operating_items,pre-tax_margin,pre-tax_roe,profit_margin,quick_ratio,research_and_development,retained_earnings,sale_and_purchase_of_stock,"sales,_general_and_admin.",short-term_debt_/_current_portion_of_long-term_debt,short-term_investments,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_&_equity,total_revenue,treasury_stock,for_year,earnings_per_share,estimated_shares_outstanding,year,symbol,price_year,yearly_price,security,sec_filings,gics_sector,gics_sub_industry,address_of_headquarters,date_first_added,cik,pe_ratio
ROST,1/31/2015,0.191170211,,,-0.023809524,0.17470187,0.083386865,0.35483871,0.646173624,1.410785091,0.944236176,0.078391245,0.014925373,,0.252399314,0.130259908,0.10575072,0.10575072,,,0.212474384,,0,0.081651088,0.107975004,,,0.091890022,-2.156087709,65.68677091,1.63708,-0.161725067,,,,-2.222936317,0.34330819,-0.324678639,0.133362776,0.104406524,1.424301434,0.104406524,0.104406524,0.006026991,,0.108175864,0,0.066653832,0.046935514,,-0.151670951,,0.495336788,-0.028052593,0.661772152,,0,-0.029850746,0,0.204545455,,0.193976554,0.011209447,0.058311702,,-0.958354156,0.202877645,0.204953086,0.191170211,0.135459438,0.274499271,0.202877645,0.079305572,0.321169144,0.000496771,0.13740458,-0.029011714,2015,ROST,2015,0.374845498,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/2009,745732,0.20875678
ROST,1/30/2016,-0.034061763,,,0,-0.432557435,0.107262479,0.142857143,0.09330068,-0.598086911,-0.030368764,0.080488856,0.088235294,,0.764383562,0.179726905,0.085092159,0.085092159,,,0.030414047,,0,0.083578711,0.054323436,,,0.033823738,-0.967889527,-1.136544825,0.001170487,-0.572025723,,,-1,-0.76230983,-0.033953084,0.951994457,-0.432692383,0.103746631,0.624038964,0.103746631,0.103746631,0.004762685,,0.091390466,0.076923077,-0.049679776,0.087536759,,-0.448484848,,-1.939015939,-0.040543828,-0.17757465,,0,0,0.125,0.113207547,,0.107797294,0.320380628,0.076381215,,2.474,0.038774195,0.054384336,-0.034061763,0.084582377,-0.004581091,0.038774195,0.081357388,0.429171856,0.000496524,-0.434004474,0.950097803,2016,ROST,2016,0.178679483,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/2009,745732,1.082489046
RRC,12/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,RRC,2012,,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",12/21/2007,315852,
RRC,12/31/2013,0.035974851,-0.442039088,-0.771262546,4,-0.224966908,0.022973679,,0.380952381,-1.513150759,0.004920049,0.569781376,-0.305555556,,0.146365569,0.039823632,0.682379523,4.969787676,,,0.106467336,,-0.052631579,0.267523217,1.808777169,,0.045966184,-0.442034506,1.340654608,-2.21229371,0.091144593,-0.066797603,,,-0.721127918,-0.4,0.149032837,-0.727780368,-0.356625002,7.900323027,-0.052173463,7.900323027,52.34811759,0.379629243,-0.462016398,1.693094763,1.125,0.05287051,-0.967859428,1.039271255,-0.925681393,,-9.19294406,0.540673816,,0.105943472,3,5,5,-0.28358209,,0.24818693,-0.267609559,0.578598027,4.859539253,,0.084763481,-0.242092829,0.08880286,0.024204714,0.117421808,0.084763481,0.340213658,-0.23592437,0.000497018,7.875,0.002853299,2013,RRC,2013,0.207438992,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",12/21/2007,315852,-0.863950536
RRC,12/31/2014,0.345197124,-0.748774279,34.44275817,2.6,0.040427334,0.224959635,,0.287356322,-2.194451783,0.032435741,0.173667313,0.78,,0.266921814,0.152159476,2.679023475,5.891909961,,,0.18022282,,-0.027777778,0.091670757,10.71110849,,-0.042932311,0.433941049,-0.48224471,-0.16619974,-0.034928018,-0.708433683,,,-1.385538089,0.041666667,0.283236365,0.214284524,0.2664332,4.481948117,-2.726246845,4.481948117,4.894955627,-0.182360298,0.117432302,0.803214808,0.588235294,-0.349992168,81.1192038,1.991264642,-1,,-1.162200282,0.244433771,,0.119080742,5.25,4,4.166666667,0.791666667,,1.348856925,18.62167047,-0.51034319,-1,,0.192560822,1.296776896,0.290813845,0.431972555,0.074220709,0.192560822,0.114767993,-0.150948584,0.000496771,4.366197183,0.021570384,2014,RRC,2014,0.033593657,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",12/21/2007,315852,-0.807388059
RRC,12/31/2015,-0.462844015,-13.14186527,-1.020148566,0.444444444,-0.146168136,0.017558192,,0.051339286,2.288652953,0.003556609,0.071342728,0.404494382,,-0.316579958,0.988756936,-1.738354077,-2.020833556,,,-0.203912988,,-0.357142857,-0.629216619,-1.854159994,,-0.015019796,0.860479444,-1.130419332,2.154938242,-0.125220402,-0.820955499,,,3.721096354,-0.77,-0.283434734,-2.595303702,-0.824343855,-2.125008276,-1.843835963,-2.125008276,-2.207275995,-0.34454671,3.754376095,-2.572007924,1.740740741,-0.074387398,-0.224501376,0.000265481,,,-27.8756917,-0.106682948,,0.054666517,0.78,0.266666667,0.935483871,0.337209302,,-0.699923939,-0.979884904,-0.138079895,,,-0.207312475,-0.230089147,-0.450160003,-0.201817883,-0.210932931,-0.207312475,-0.42145283,-0.272992228,0.000496524,-2.125984252,-0.000866776,2015,RRC,2015,-0.444855148,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",12/21/2007,315852,-1.493030742
RSG,12/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,RSG,2013,,Republic Services Inc,reports,Industrials,Industrial Conglomerates,"Phoenix, Arizona",12/5/2008,1060391,
RSG,12/31/2014,0.101646326,-0.118506494,-7.821428571,0,-0.020776567,0.016556047,-0.666666667,-0.647444913,,0,0.078017842,-0.084337349,,-0.030706934,0.032389937,0.018824306,0.04006109,,,0.018261141,0.009958878,-0.052631579,-0.00700707,0.287294926,-0.053514883,-0.031388889,,,-1.714640199,0.006911916,,-0.038461538,,-0.684297521,-1.947838023,-0.011884769,0.511096884,0.027733162,-0.070130752,0.118074131,-0.070130752,-0.069188821,0.043736983,-0.790697674,0.018838305,0,-0.094762539,0.315027459,-0.020603538,-10.63333333,-24,0.832391714,0.08521186,-0.096897578,0.033622065,0,0,-0.142857143,-0.084337349,,0.061647738,3.928909953,-0.082437276,-0.337579618,,0.007258436,-0.021731486,0.063420884,-0.020016448,0.025154204,0.007258436,0.045870361,0.266853184,0.000496771,-0.055214724,-0.015787744,2014,RSG,2014,0.101178168,Republic Services Inc,reports,Industrials,Industrial Conglomerates,"Phoenix, Arizona",12/5/2008,1060391,0.165532736
RSG,12/31/2015,0.015315985,-0.710865562,-1.104712042,0.428571429,0.096347826,-0.319795257,-0.5,-0.569148936,,-0.146341463,-0.022062342,-0.118421053,,-0.014969539,0.066098081,0.264829822,0.350841523,,,0.05408008,0.029046524,0.083333333,0.138029239,0.320391227,-0.175644028,0.046458274,,,-2.027777778,0.067595167,,0,,-27.04188482,-0.690079652,0.097986665,-0.66148849,0.544905189,0.369430241,-0.330143541,0.369430241,0.372940315,-0.08504371,-1,0.264131052,0.214285714,-0.11522432,-0.107820805,-0.014662133,0.055363322,2.043478261,4.521068859,-0.023745906,0.555764706,0.070239277,0.3,0.363636364,0.333333333,-0.118421053,,0.122826476,0.085897436,0.068709936,-0.471153846,,0.021991639,-0.115528397,0.004819277,0.003718384,0.033452914,0.021991639,0.035407177,-0.992165317,0.000496524,0.38961039,-0.014522163,2015,RSG,2015,0.13212734,Republic Services Inc,reports,Industrials,Industrial Conglomerates,"Phoenix, Arizona",12/5/2008,1060391,-0.18529154
RSG,12/31/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,RSG,2016,,Republic Services Inc,reports,Industrials,Industrial Conglomerates,"Phoenix, Arizona",12/5/2008,1060391,
